"","tau","C","dC","Nt","U","N"
"1",0,0.500795707591406,0.0136804535381078,32,2,50000
"2",0.0625,0.483628707454567,0.0130659455617252,32,2,50000
"3",0.125,0.460103427139634,0.0123968942558734,32,2,50000
"4",0.1875,0.443536042196724,0.0122597396106978,32,2,50000
"5",0.25,0.422006498481146,0.0106403760115584,32,2,50000
"6",0.3125,0.40429290717694,0.00971050661448669,32,2,50000
"7",0.375,0.391247980483356,0.00913474528500116,32,2,50000
"8",0.4375,0.378282529600146,0.00870451131034677,32,2,50000
"9",0.5,0.367367733429141,0.00809136853969904,32,2,50000
"10",0.5625,0.355083843980111,0.00765725974326951,32,2,50000
"11",0.625,0.346885519530664,0.00736322801195872,32,2,50000
"12",0.6875,0.341736729989574,0.0071200809504431,32,2,50000
"13",0.75,0.336118722789753,0.00689693952312164,32,2,50000
"14",0.8125,0.332261768588445,0.00673025461041475,32,2,50000
"15",0.875,0.329665924443839,0.00666603257935913,32,2,50000
"16",0.9375,0.327712327602145,0.00654079882825539,32,2,50000
"17",1,0.327961114971855,0.00658812902992626,32,2,50000
"18",1.0625,0.32856825455182,0.00673277753851681,32,2,50000
"19",1.125,0.329081170445111,0.00706166774562817,32,2,50000
"20",1.1875,0.331950466877541,0.00717177277958472,32,2,50000
"21",1.25,0.334936329833854,0.00707000596986172,32,2,50000
"22",1.3125,0.339870632322694,0.00710203622735889,32,2,50000
"23",1.375,0.346980882682952,0.00749754537811712,32,2,50000
"24",1.4375,0.355905819671542,0.00785422130500659,32,2,50000
"25",1.5,0.364223742937033,0.00825904543343393,32,2,50000
"26",1.5625,0.373050978191602,0.0085816603130175,32,2,50000
"27",1.625,0.384876043121395,0.00902991326296351,32,2,50000
"28",1.6875,0.397703534728355,0.0096293702198113,32,2,50000
"29",1.75,0.41371146785903,0.0103089957972058,32,2,50000
"30",1.8125,0.433762249870722,0.0115800723846562,32,2,50000
"31",1.875,0.454936807545738,0.0124092930570869,32,2,50000
"32",1.9375,0.477192667366134,0.0145167086194355,32,2,50000
