"","N","Z","dZ","Nt","beta","U"
"1",1000,681.361865100793,36.0657693856215,32,2,2
"2",5000,918.418093288943,44.3449638531288,32,2,2
"3",10000,939.227471975318,54.7518169084188,32,2,2
"4",20000,877.559557650956,20.1139798489295,32,2,2
"5",50000,921.324903040907,21.617755541527,32,2,2
