"","beta","Z","dZ","Nt","U","N"
"1",0,4.00000000000004,0,32,2,50000
"2",1,7.41166920886234,0.0379180252880726,32,2,50000
"3",2,17.0656677588805,0.342853878644454,32,2,50000
"4",4,111.918725814539,8.31570757048747,32,2,50000
"5",6,920.227208769304,184.930822919787,32,2,50000
