"","U","Z","dZ","Nt","beta","N"
"1",0,4.00000000000004,0,32,2,50000
"2",1,7.41941596533005,0.0363097433235444,32,2,50000
"3",2,17.089926847186,0.505074676388196,32,2,50000
"4",4,97.0032377703424,4.82143142915409,32,2,50000
"5",6,607.222316293188,56.4146007657137,32,2,50000
