"","Nt","Z","dZ","N","beta","U"
"1",8,10710.9970884921,378.62475420319,50000,2,2
"2",16,15112.9401126107,1195.92377243646,50000,2,2
"3",32,14075.2939587848,444.660834558939,50000,2,2
"4",64,15699.3235631233,587.130825361376,50000,2,2
"5",128,17385.8706468383,765.545902247621,50000,2,2
