"","Nt","Z","dZ","N","beta","U"
"1",4,16.2169109737303,0.25216198335023,50000,2,2
"2",8,16.3693102707435,0.260715256701645,50000,2,2
"3",16,16.815304207737,0.330151938741941,50000,2,2
"4",32,16.3954660989805,0.243805026062008,50000,2,2
"5",64,16.5682510433579,0.295079102361498,50000,2,2
