"","N","Z","dZ","Nt","beta","U"
"1",1000,14.9644961411812,1.15244451754417,32,2,2
"2",5000,16.4200018554277,0.87874228427414,32,2,2
"3",10000,15.9416655791989,0.516306217513195,32,2,2
"4",20000,17.6233299840769,0.618448204881031,32,2,2
"5",50000,17.7195492727326,0.515948991773744,32,2,2
"6",1e+05,16.5091177818744,0.186083313954723,32,2,2
